"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 08:29:39 GMT 2022","Wed Jun 01 08:29:46 GMT 2022","6342","test","test_conduit","TestConduit","","","test_data_update",""
"passed","Wed Jun 01 08:29:10 GMT 2022","Wed Jun 01 08:29:14 GMT 2022","4000","test","test_conduit","TestConduit","","","test_make_data_list",""
"passed","Wed Jun 01 08:29:52 GMT 2022","Wed Jun 01 08:29:56 GMT 2022","4327","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 08:29:24 GMT 2022","Wed Jun 01 08:29:26 GMT 2022","2268","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 08:29:32 GMT 2022","Wed Jun 01 08:29:36 GMT 2022","3506","test","test_conduit","TestConduit","","","test_data_save",""
"passed","Wed Jun 01 08:29:19 GMT 2022","Wed Jun 01 08:29:22 GMT 2022","2357","test","test_conduit","TestConduit","","","test_user_reg_valid",""
"passed","Wed Jun 01 08:29:28 GMT 2022","Wed Jun 01 08:29:30 GMT 2022","2272","test","test_conduit","TestConduit","","","test_page_list_going_over",""
"broken","Wed Jun 01 08:29:50 GMT 2022","Wed Jun 01 08:29:50 GMT 2022","279","test","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Wed Jun 01 08:29:15 GMT 2022","Wed Jun 01 08:29:18 GMT 2022","2293","test","test_conduit","TestConduit","","","test_empty_registration",""
"passed","Wed Jun 01 08:29:47 GMT 2022","Wed Jun 01 08:29:48 GMT 2022","281","test","test_conduit","TestConduit","","","test_data_fill_and_delete",""
"passed","Wed Jun 01 08:29:06 GMT 2022","Wed Jun 01 08:29:08 GMT 2022","2055","test","test_conduit","TestConduit","","","test_cookie_accept",""
"broken","Wed Jun 01 08:29:37 GMT 2022","Wed Jun 01 08:29:38 GMT 2022","269","test","test_conduit","TestConduit","","","test_new_data_input",""
