"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 08:27:36 GMT 2022","Wed Jun 15 08:27:38 GMT 2022","2090","test","test_conduit","TestConduit","","","test_make_data_list",""
"passed","Wed Jun 15 08:27:56 GMT 2022","Wed Jun 15 08:27:59 GMT 2022","3030","test","test_conduit","TestConduit","","","test_data_save",""
"passed","Wed Jun 15 08:27:24 GMT 2022","Wed Jun 15 08:27:34 GMT 2022","10074","test","test_conduit","TestConduit","","","test_cookie_accept",""
"passed","Wed Jun 15 08:27:40 GMT 2022","Wed Jun 15 08:27:42 GMT 2022","2301","test","test_conduit","TestConduit","","","test_empty_registration",""
"passed","Wed Jun 15 08:27:49 GMT 2022","Wed Jun 15 08:27:51 GMT 2022","2283","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 15 08:27:53 GMT 2022","Wed Jun 15 08:27:54 GMT 2022","946","test","test_conduit","TestConduit","","","test_page_list_going_over",""
"passed","Wed Jun 15 08:33:03 GMT 2022","Wed Jun 15 08:33:07 GMT 2022","4348","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 15 08:28:20 GMT 2022","Wed Jun 15 08:31:52 GMT 2022","211814","test","test_conduit","TestConduit","","","test_data_fill_and_delete",""
"passed","Wed Jun 15 08:27:44 GMT 2022","Wed Jun 15 08:27:46 GMT 2022","2350","test","test_conduit","TestConduit","","","test_user_reg_valid",""
"passed","Wed Jun 15 08:28:04 GMT 2022","Wed Jun 15 08:28:18 GMT 2022","14776","test","test_conduit","TestConduit","","","test_data_update",""
"passed","Wed Jun 15 08:31:54 GMT 2022","Wed Jun 15 08:33:00 GMT 2022","66729","test","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Wed Jun 15 08:28:00 GMT 2022","Wed Jun 15 08:28:02 GMT 2022","1631","test","test_conduit","TestConduit","","","test_new_data_input",""
