"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 05 08:37:27 GMT 2022","Sun Jun 05 08:37:39 GMT 2022","12100","test","test_conduit","TestConduit","","","test_cookie_accept",""
"passed","Sun Jun 05 08:42:07 GMT 2022","Sun Jun 05 08:43:33 GMT 2022","86734","test","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Sun Jun 05 08:37:58 GMT 2022","Sun Jun 05 08:38:01 GMT 2022","3296","test","test_conduit","TestConduit","","","test_page_list_going_over",""
"passed","Sun Jun 05 08:37:54 GMT 2022","Sun Jun 05 08:37:56 GMT 2022","2409","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 05 08:37:41 GMT 2022","Sun Jun 05 08:37:43 GMT 2022","2456","test","test_conduit","TestConduit","","","test_make_data_list",""
"passed","Sun Jun 05 08:37:49 GMT 2022","Sun Jun 05 08:37:52 GMT 2022","2467","test","test_conduit","TestConduit","","","test_user_reg_valid",""
"passed","Sun Jun 05 08:38:03 GMT 2022","Sun Jun 05 08:38:07 GMT 2022","3392","test","test_conduit","TestConduit","","","test_data_save",""
"passed","Sun Jun 05 08:38:13 GMT 2022","Sun Jun 05 08:38:29 GMT 2022","16200","test","test_conduit","TestConduit","","","test_data_update",""
"passed","Sun Jun 05 08:37:45 GMT 2022","Sun Jun 05 08:37:47 GMT 2022","2419","test","test_conduit","TestConduit","","","test_empty_registration",""
"passed","Sun Jun 05 08:38:08 GMT 2022","Sun Jun 05 08:38:11 GMT 2022","2194","test","test_conduit","TestConduit","","","test_new_data_input",""
"passed","Sun Jun 05 08:38:31 GMT 2022","Sun Jun 05 08:42:05 GMT 2022","214086","test","test_conduit","TestConduit","","","test_data_fill_and_delete",""
"passed","Sun Jun 05 08:43:35 GMT 2022","Sun Jun 05 08:43:40 GMT 2022","4478","test","test_conduit","TestConduit","","","test_logout",""
