"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 11:37:59 GMT 2022","Wed Jun 01 11:38:03 GMT 2022","4349","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 11:32:20 GMT 2022","Wed Jun 01 11:32:22 GMT 2022","2359","test","test_conduit","TestConduit","","","test_user_reg_valid",""
"passed","Wed Jun 01 11:32:41 GMT 2022","Wed Jun 01 11:32:56 GMT 2022","14838","test","test_conduit","TestConduit","","","test_data_update",""
"passed","Wed Jun 01 11:32:24 GMT 2022","Wed Jun 01 11:32:26 GMT 2022","2294","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 11:32:57 GMT 2022","Wed Jun 01 11:36:29 GMT 2022","211440","test","test_conduit","TestConduit","","","test_data_fill_and_delete",""
"passed","Wed Jun 01 11:32:37 GMT 2022","Wed Jun 01 11:32:39 GMT 2022","1649","test","test_conduit","TestConduit","","","test_new_data_input",""
"passed","Wed Jun 01 11:36:31 GMT 2022","Wed Jun 01 11:37:57 GMT 2022","85591","test","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Wed Jun 01 11:32:10 GMT 2022","Wed Jun 01 11:32:14 GMT 2022","4074","test","test_conduit","TestConduit","","","test_make_data_list",""
"passed","Wed Jun 01 11:32:33 GMT 2022","Wed Jun 01 11:32:36 GMT 2022","3116","test","test_conduit","TestConduit","","","test_data_save",""
"passed","Wed Jun 01 11:32:28 GMT 2022","Wed Jun 01 11:32:31 GMT 2022","2992","test","test_conduit","TestConduit","","","test_page_list_going_over",""
"passed","Wed Jun 01 11:32:16 GMT 2022","Wed Jun 01 11:32:18 GMT 2022","2321","test","test_conduit","TestConduit","","","test_empty_registration",""
"passed","Wed Jun 01 11:31:56 GMT 2022","Wed Jun 01 11:32:08 GMT 2022","12062","test","test_conduit","TestConduit","","","test_cookie_accept",""
