"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 22 15:58:20 GMT 2022","Wed Jun 22 15:58:22 GMT 2022","2296","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 22 15:58:31 GMT 2022","Wed Jun 22 15:58:35 GMT 2022","3584","test","test_conduit","TestConduit","","","test_new_data_input",""
"passed","Wed Jun 22 15:58:11 GMT 2022","Wed Jun 22 15:58:14 GMT 2022","2373","test","test_conduit","TestConduit","","","test_empty_registration",""
"passed","Wed Jun 22 15:58:53 GMT 2022","Wed Jun 22 16:02:25 GMT 2022","212073","test","test_conduit","TestConduit","","","test_data_fill_and_delete",""
"passed","Wed Jun 22 15:58:08 GMT 2022","Wed Jun 22 15:58:10 GMT 2022","2128","test","test_conduit","TestConduit","","","test_make_data_list",""
"passed","Wed Jun 22 16:02:27 GMT 2022","Wed Jun 22 16:03:33 GMT 2022","66799","test","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Wed Jun 22 15:58:15 GMT 2022","Wed Jun 22 15:58:18 GMT 2022","2422","test","test_conduit","TestConduit","","","test_user_reg_valid",""
"passed","Wed Jun 22 15:58:23 GMT 2022","Wed Jun 22 15:58:25 GMT 2022","1026","test","test_conduit","TestConduit","","","test_page_list_going_over",""
"passed","Wed Jun 22 15:58:26 GMT 2022","Wed Jun 22 15:58:29 GMT 2022","3007","test","test_conduit","TestConduit","","","test_data_save",""
"passed","Wed Jun 22 15:58:36 GMT 2022","Wed Jun 22 15:58:51 GMT 2022","14837","test","test_conduit","TestConduit","","","test_data_update",""
"passed","Wed Jun 22 15:57:56 GMT 2022","Wed Jun 22 15:58:06 GMT 2022","10139","test","test_conduit","TestConduit","","","test_cookie_accept",""
"passed","Wed Jun 22 16:03:35 GMT 2022","Wed Jun 22 16:03:40 GMT 2022","4381","test","test_conduit","TestConduit","","","test_logout",""
