"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 08:04:15 GMT 2022","Wed Jun 01 08:04:30 GMT 2022","14908","test","test_conduit","TestConduit","","","test_data_update",""
"passed","Wed Jun 01 08:03:45 GMT 2022","Wed Jun 01 08:03:49 GMT 2022","4148","test","test_conduit","TestConduit","","","test_make_data_list",""
"passed","Wed Jun 01 08:08:59 GMT 2022","Wed Jun 01 08:09:03 GMT 2022","4355","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 08:07:32 GMT 2022","Wed Jun 01 08:08:57 GMT 2022","85828","test","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Wed Jun 01 08:04:02 GMT 2022","Wed Jun 01 08:04:05 GMT 2022","3109","test","test_conduit","TestConduit","","","test_page_list_going_over",""
"passed","Wed Jun 01 08:03:54 GMT 2022","Wed Jun 01 08:03:57 GMT 2022","2419","test","test_conduit","TestConduit","","","test_user_reg_valid",""
"passed","Wed Jun 01 08:04:12 GMT 2022","Wed Jun 01 08:04:14 GMT 2022","1773","test","test_conduit","TestConduit","","","test_new_data_input",""
"passed","Wed Jun 01 08:03:58 GMT 2022","Wed Jun 01 08:04:01 GMT 2022","2308","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 08:04:07 GMT 2022","Wed Jun 01 08:04:10 GMT 2022","3098","test","test_conduit","TestConduit","","","test_data_save",""
"passed","Wed Jun 01 08:03:31 GMT 2022","Wed Jun 01 08:03:43 GMT 2022","12210","test","test_conduit","TestConduit","","","test_cookie_accept",""
"passed","Wed Jun 01 08:03:50 GMT 2022","Wed Jun 01 08:03:53 GMT 2022","2376","test","test_conduit","TestConduit","","","test_empty_registration",""
"broken","Wed Jun 01 08:04:32 GMT 2022","Wed Jun 01 08:07:30 GMT 2022","178064","test","test_conduit","TestConduit","","","test_data_fill_and_delete",""
