"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 07:26:25 GMT 2022","Mon Jun 13 07:26:31 GMT 2022","6367","test","test_conduit","TestConduit","","","test_data_update",""
"passed","Mon Jun 13 07:26:02 GMT 2022","Mon Jun 13 07:26:04 GMT 2022","2302","test","test_conduit","TestConduit","","","test_empty_registration",""
"passed","Mon Jun 13 07:26:06 GMT 2022","Mon Jun 13 07:26:08 GMT 2022","2389","test","test_conduit","TestConduit","","","test_user_reg_valid",""
"passed","Mon Jun 13 07:31:15 GMT 2022","Mon Jun 13 07:31:19 GMT 2022","4337","test","test_conduit","TestConduit","","","test_logout",""
"passed","Mon Jun 13 07:26:21 GMT 2022","Mon Jun 13 07:26:23 GMT 2022","1650","test","test_conduit","TestConduit","","","test_new_data_input",""
"passed","Mon Jun 13 07:26:33 GMT 2022","Mon Jun 13 07:30:05 GMT 2022","211525","test","test_conduit","TestConduit","","","test_data_fill_and_delete",""
"passed","Mon Jun 13 07:26:17 GMT 2022","Mon Jun 13 07:26:20 GMT 2022","3045","test","test_conduit","TestConduit","","","test_data_save",""
"passed","Mon Jun 13 07:26:10 GMT 2022","Mon Jun 13 07:26:12 GMT 2022","2285","test","test_conduit","TestConduit","","","test_login",""
"passed","Mon Jun 13 07:25:58 GMT 2022","Mon Jun 13 07:26:00 GMT 2022","2060","test","test_conduit","TestConduit","","","test_make_data_list",""
"passed","Mon Jun 13 07:30:06 GMT 2022","Mon Jun 13 07:31:13 GMT 2022","66777","test","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Mon Jun 13 07:25:45 GMT 2022","Mon Jun 13 07:25:55 GMT 2022","10051","test","test_conduit","TestConduit","","","test_cookie_accept",""
"passed","Mon Jun 13 07:26:14 GMT 2022","Mon Jun 13 07:26:15 GMT 2022","947","test","test_conduit","TestConduit","","","test_page_list_going_over",""
