"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 08:04:03 GMT 2022","Wed Jun 15 08:04:06 GMT 2022","2568","test","test_conduit","TestConduit","","","test_user_reg_valid",""
"broken","Wed Jun 15 08:04:20 GMT 2022","Wed Jun 15 08:04:22 GMT 2022","2123","test","test_conduit","TestConduit","","","test_new_data_input",""
"passed","Wed Jun 15 08:08:16 GMT 2022","Wed Jun 15 08:09:24 GMT 2022","67969","test","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Wed Jun 15 08:04:41 GMT 2022","Wed Jun 15 08:08:15 GMT 2022","213601","test","test_conduit","TestConduit","","","test_data_fill_and_delete",""
"passed","Wed Jun 15 08:04:12 GMT 2022","Wed Jun 15 08:04:13 GMT 2022","1246","test","test_conduit","TestConduit","","","test_page_list_going_over",""
"passed","Wed Jun 15 08:04:15 GMT 2022","Wed Jun 15 08:04:18 GMT 2022","3299","test","test_conduit","TestConduit","","","test_data_save",""
"passed","Wed Jun 15 08:04:24 GMT 2022","Wed Jun 15 08:04:39 GMT 2022","15496","test","test_conduit","TestConduit","","","test_data_update",""
"passed","Wed Jun 15 08:03:59 GMT 2022","Wed Jun 15 08:04:02 GMT 2022","2527","test","test_conduit","TestConduit","","","test_empty_registration",""
"passed","Wed Jun 15 08:03:54 GMT 2022","Wed Jun 15 08:03:56 GMT 2022","2439","test","test_conduit","TestConduit","","","test_make_data_list",""
"passed","Wed Jun 15 08:09:27 GMT 2022","Wed Jun 15 08:09:32 GMT 2022","4416","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 15 08:04:08 GMT 2022","Wed Jun 15 08:04:10 GMT 2022","2356","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 15 08:03:41 GMT 2022","Wed Jun 15 08:03:51 GMT 2022","10206","test","test_conduit","TestConduit","","","test_cookie_accept",""
