"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 07:41:25 GMT 2022","Wed Jun 01 07:41:40 GMT 2022","14798","test","test_conduit","TestConduit","","","test_data_update",""
"passed","Wed Jun 01 07:41:22 GMT 2022","Wed Jun 01 07:41:24 GMT 2022","1580","test","test_conduit","TestConduit","","","test_new_data_input",""
"passed","Wed Jun 01 07:41:18 GMT 2022","Wed Jun 01 07:41:21 GMT 2022","3053","test","test_conduit","TestConduit","","","test_data_save",""
"passed","Wed Jun 01 07:41:09 GMT 2022","Wed Jun 01 07:41:11 GMT 2022","2291","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 07:40:56 GMT 2022","Wed Jun 01 07:41:00 GMT 2022","3990","test","test_conduit","TestConduit","","","test_make_data_list",""
"passed","Wed Jun 01 07:41:05 GMT 2022","Wed Jun 01 07:41:07 GMT 2022","2381","test","test_conduit","TestConduit","","","test_user_reg_valid",""
"passed","Wed Jun 01 07:41:01 GMT 2022","Wed Jun 01 07:41:04 GMT 2022","2329","test","test_conduit","TestConduit","","","test_empty_registration",""
"passed","Wed Jun 01 07:44:40 GMT 2022","Wed Jun 01 07:46:06 GMT 2022","85489","test","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Wed Jun 01 07:46:08 GMT 2022","Wed Jun 01 07:46:12 GMT 2022","4309","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 07:40:41 GMT 2022","Wed Jun 01 07:40:54 GMT 2022","12159","test","test_conduit","TestConduit","","","test_cookie_accept",""
"broken","Wed Jun 01 07:41:42 GMT 2022","Wed Jun 01 07:44:39 GMT 2022","177015","test","test_conduit","TestConduit","","","test_data_fill_and_delete",""
"passed","Wed Jun 01 07:41:13 GMT 2022","Wed Jun 01 07:41:16 GMT 2022","2990","test","test_conduit","TestConduit","","","test_page_list_going_over",""
