"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 06:30:58 GMT 2022","Wed Jun 15 06:31:00 GMT 2022","2355","test","test_conduit","TestConduit","","","test_make_data_list",""
"passed","Wed Jun 15 06:35:22 GMT 2022","Wed Jun 15 06:36:30 GMT 2022","68126","test","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Wed Jun 15 06:31:24 GMT 2022","Wed Jun 15 06:31:26 GMT 2022","2107","test","test_conduit","TestConduit","","","test_new_data_input",""
"passed","Wed Jun 15 06:31:19 GMT 2022","Wed Jun 15 06:31:22 GMT 2022","3351","test","test_conduit","TestConduit","","","test_data_save",""
"passed","Wed Jun 15 06:31:07 GMT 2022","Wed Jun 15 06:31:10 GMT 2022","2539","test","test_conduit","TestConduit","","","test_user_reg_valid",""
"passed","Wed Jun 15 06:36:32 GMT 2022","Wed Jun 15 06:36:36 GMT 2022","4445","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 15 06:31:16 GMT 2022","Wed Jun 15 06:31:17 GMT 2022","1264","test","test_conduit","TestConduit","","","test_page_list_going_over",""
"passed","Wed Jun 15 06:31:03 GMT 2022","Wed Jun 15 06:31:06 GMT 2022","2412","test","test_conduit","TestConduit","","","test_empty_registration",""
"passed","Wed Jun 15 06:31:28 GMT 2022","Wed Jun 15 06:31:43 GMT 2022","15757","test","test_conduit","TestConduit","","","test_data_update",""
"passed","Wed Jun 15 06:31:46 GMT 2022","Wed Jun 15 06:35:20 GMT 2022","213789","test","test_conduit","TestConduit","","","test_data_fill_and_delete",""
"passed","Wed Jun 15 06:30:46 GMT 2022","Wed Jun 15 06:30:56 GMT 2022","10086","test","test_conduit","TestConduit","","","test_cookie_accept",""
"passed","Wed Jun 15 06:31:12 GMT 2022","Wed Jun 15 06:31:14 GMT 2022","2362","test","test_conduit","TestConduit","","","test_login",""
